ZONE I=40, J=105
0.0575777 0.0510094 0.000591406 -0.00118312
0.0767703 0.0680126 0.00105096 -0.0021029
0.0959629 0.0850157 0.00164126 -0.00328492
0.115155 0.102019 0.0023619 -0.00472877
0.134348 0.119022 0.00321238 -0.00643394
0.153541 0.136025 0.00419208 -0.00839984
0.172733 0.153028 0.00530033 -0.0106258
0.191926 0.170031 0.00653635 -0.013111
0.211118 0.187035 0.00789925 -0.0158545
0.230311 0.204038 0.00938809 -0.0188555
0.249504 0.221041 0.0110018 -0.0221129
0.268696 0.238044 0.0127392 -0.0256255
0.287889 0.255047 0.0145991 -0.029392
0.307081 0.27205 0.0165802 -0.0334112
0.326274 0.289053 0.018681 -0.0376816
0.345466 0.306057 0.0209 -0.0422018
0.364659 0.32306 0.0232356 -0.04697
0.383852 0.340063 0.0256861 -0.0519846
0.403044 0.357066 0.0282497 -0.0572438
0.422237 0.374069 0.0309246 -0.0627457
0.441429 0.391072 0.0337087 -0.0684884
0.460622 0.408075 0.0366 -0.0744698
0.479815 0.425079 0.0395963 -0.0806877
0.499007 0.442082 0.0426954 -0.0871398
0.5182 0.459085 0.0458949 -0.0938239
0.537392 0.476088 0.0491925 -0.100738
0.556585 0.493091 0.0525855 -0.107878
0.575777 0.510094 0.0560714 -0.115243
0.59497 0.527097 0.0596474 -0.12283
0.614163 0.544101 0.0633108 -0.130635
0.633355 0.561104 0.0670586 -0.138656
0.652548 0.578107 0.0708879 -0.146891
0.67174 0.59511 0.0747956 -0.155335
0.690933 0.612113 0.0787785 -0.163986
0.710126 0.629116 0.0828333 -0.17284
0.729318 0.64612 0.0869568 -0.181894
0.748511 0.663123 0.0911454 -0.191145
0 0 0 0
0.0181309 0.0181309 6.57432e-05 -0.000131489
0.0362619 0.0362619 0.000262936 -0.000525921
0.0543928 0.0543928 0.000591468 -0.00118318
0.0725238 0.0725238 0.00105116 -0.0021031
0.0906547 0.0906547 0.00164175 -0.0032854
0.108786 0.108786 0.0023629 -0.00472977
0.126917 0.126917 0.00321423 -0.00643579
0.145048 0.145048 0.00419524 -0.008403
0.163178 0.163178 0.00530539 -0.0106308
0.181309 0.181309 0.00654406 -0.0131187
0.19944 0.19944 0.00791054 -0.0158658
0.217571 0.217571 0.00940408 -0.0188715
0.235702 0.235702 0.0110238 -0.0221349
0.253833 0.253833 0.0127688 -0.0256551
0.271964 0.271964 0.0146382 -0.0294311
0.290095 0.290095 0.0166307 -0.0334618
0.308226 0.308226 0.0187454 -0.037746
0.326357 0.326357 0.0209809 -0.0422827
0.344488 0.344488 0.0233361 -0.0470704
0.362619 0.362619 0.0258094 -0.0521079
0.38075 0.38075 0.0283996 -0.0573937
0.398881 0.398881 0.0311052 -0.0629263
0.417012 0.417012 0.0339244 -0.0687042
0.435143 0.435143 0.0368557 -0.0747256
0.453274 0.453274 0.0398974 -0.0809888
0.471405 0.471405 0.0430477 -0.0874921
0.489535 0.489535 0.0463046 -0.0942336
0.507666 0.507666 0.0496663 -0.101211
0.525797 0.525797 0.0531308 -0.108423
0.543928 0.543928 0.0566958 -0.115867
0.562059 0.562059 0.0603594 -0.123541
0.58019 0.58019 0.0641191 -0.131443
0.598321 0.598321 0.0679728 -0.13957
0.616452 0.616452 0.0719181 -0.147921
0.634583 0.634583 0.0759524 -0.156492
